id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform
7278,Aave,aave,aave,338,2020-10-02 00:00:00,"['defi', 'dao', 'yield-farming', 'three-arrows-capital-portfolio', 'governance', 'lending-borowing', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'bnb-chain']",16000000.0,13872296.10764818,16000000,42,,,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,115.68671139892257,431534097.03812987,120.7308,-0.69427965,7.24998426,19.04714584,-20.40611237,-52.60210303,-17.22680328,1604840316.245892,0.1231,1850987382.38,2022-05-31T15:31:00.000Z,
6783,Axie Infinity,axs,axie-infinity,217,2020-08-31 00:00:00,"['collectibles-nfts', 'gaming', 'binance-launchpad', 'metaverse', 'defiance-capital-portfolio', 'play-to-earn', 'animoca-brands-portfolio']",270000000.0,60907500.0,270000000,43,,,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,24.012977731433526,905240327.3932204,456.4679,-0.82248817,19.73801117,16.41962809,-23.80624729,-62.54440102,-57.44968604,1462570441.1772876,0.1122,6483503987.49,2022-05-31T15:32:00.000Z,
5665,Helium,hnt,helium,51,2020-06-05 00:00:00,"['mineable', 'enterprise-solutions', 'distributed-computing', 'iot', 'usv-portfolio', 'multicoin-capital-portfolio', 'web3']",223000000.0,118762613.1318799,223000000,51,,,2022-05-31T15:31:00.000Z,,,,,,9.104748323707193,56913412.16922477,143.3059,1.41002875,2.7621831,17.22187491,-31.27473583,-61.91638424,-62.23215966,1081303702.8315694,0.0829,2030358876.19,2022-05-31T15:31:00.000Z,
6719,The Graph,grt,the-graph,207,2020-12-17 00:00:00,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",10057044431.0,6900000000.0,10000000000,53,,,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0.1520119425311365,70918417.86996539,17.3037,0.25854367,0.99250274,0.07587184,-51.86205052,-68.39226207,-59.73334715,1048882403.4648418,0.0805,1528790860.08,2022-05-31T15:32:00.000Z,
10791,eCash,xec,ecash,51,2021-07-08 00:00:00,[],21000000000000.0,19074142173303.0,18899704673313,58,,,2022-05-31T15:32:00.000Z,,,,,,4.9732264297939475e-05,26068663.84431545,158.5081,0.43311678,0.51461071,0.5394386,-31.81045453,-48.21024113,-34.93631985,948600279.8191785,0.0727,1044377550.26,2022-05-31T15:32:00.000Z,
7186,PancakeSwap,cake,pancakeswap,250,2020-09-25 00:00:00,"['collectibles-nfts', 'decentralized-exchange', 'defi', 'smart-contracts', 'yield-farming', 'binance-chain', 'amm', 'dex', 'governance', 'bnb-chain']",750000000.0,166289957.7916529,299188403.40843475,64,,,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,4.640768644046669,105482793.18853043,3.2395,0.77634501,-0.98412565,-1.75073252,-38.48087682,-50.53726848,-31.36376936,771713221.9393468,0.0592,3480576483.04,2022-05-31T15:31:00.000Z,
18069,STEPN,gmt,green-metaverse-token,106,2022-03-09 12:47:15,"['collectibles-nfts', 'gaming', 'binance-launchpad', 'solana-ecosystem', 'move-to-earn']",6000000000.0,600000000.0,6000000000,71,,,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1,1.1378191594676992,1116148841.5377154,-11.1551,-0.0019847,-3.99460312,-15.00149742,-67.04763118,-60.9776673,640.97241737,682691495.6806195,0.0524,6826914956.81,2022-05-31T15:31:00.000Z,
9903,Convex Finance,cvx,convex-finance,111,2021-05-18 00:00:00,"['defi', 'yield-aggregator']",100000000.0,62524420.92391152,90715156.25066225,74,2814665.0,28922102.266057536,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,10.27550428418925,15061216.4019888,51.685,0.12101889,2.03863823,2.0423036,-55.93082533,-65.78955883,-50.25967722,642469955.0701048,0.0493,1027550428.42,2022-05-31T15:31:00.000Z,
5567,Celo,celo,celo,111,2020-05-22 00:00:00,"['pos', 'zero-knowledge-proofs', 'mobile', 'payments', 'smart-contracts', 'coinbase-ventures-portfolio', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'celo-ecosystem']",1000000000.0,439191694.0,1000000000,75,,,2022-05-31T15:31:00.000Z,5567.0,Celo,CELO,celo,0x471ece3750da237f93b8e339c536989b8978a438,1.4628313322794295,78402015.0444775,69.1358,0.48136039,4.14014967,13.85964446,-39.56004663,-57.14152745,-44.15928903,642463370.8600795,0.0493,1462831332.28,2022-05-31T15:31:00.000Z,
6538,Curve DAO Token,crv,curve-dao-token,284,2020-08-14 00:00:00,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'governance', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem']",3303030299.0,458991399.0520739,1756541925.5659587,76,,,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xD533a949740bb3306d119CC777fa900bA034cd52,1.3910509057492049,152027013.81240064,22.4415,2.89090555,5.55296767,14.73984485,-32.11709661,-50.4015551,-48.09298472,638480401.3824822,0.049,4594683289.14,2022-05-31T15:32:00.000Z,
